1,거인 사이보그,14352
2,라이엔스 병사,16560
3,라이엔스,19320
4,제2형 갈론,29808
5,제2형 론펄,29808
6,제2형 다마스,29808
7,아서 -검술의 성-,42504
8,아서 -기교의 장-,42504
9,아서 - 마법의 파-,42504
10,녹색의 기사,49128
11,이계의 여왕,49128
12,선발의 기사,49128
13,반,45816
14,거인 사이보그,45816
15,타라스크,58512
16,브란데고리스 병사,51888
17,브란데고리스 병사,51888
18,브란데고리스,55200
19,유리엔스 병사,55200
20,유리엔스 병사,55200
21,유리엔스,58512
22,유리엔스,61824
23,모르간,65136
24,모르간,71760
25,라이엔스 병사,51888
26,라이엔스 병사,51888
27,롯뜨병사,51888
28,롯뜨병사,51888
29,모르가즈,71760
30,모르가즈,75072
31,롯뜨,71760
32,롯뜨,75072
33,롯뜨,78384
34,드래곤 1등급,78384
35,드래곤 1등급,81696
36,드래곤 1등급,88320
37,니무에,91632
38,콘스탄틴,91632
39,제2형 메리어트,94944
40,특이형 한니발,98256
41,지원형 가네이다,101568
42,멀린,104880
89,녹색의 기사,9999999
1001,특수형 로엔나,15088
1002,지원형 류넷,19136
1003,지원형 올트리트,25760
1004,시작형 보티건,32384
1005,제2형 콜그레반스,39008
1006,지원형 에베인,45632
1007,지원형 다이아,200000
1008,롯뜨,1500000
1009,모르가즈,3000000
1010,가웨인,3500000
1011,모르간 최종형태,3000000
1012,모드레드 마검침식,2000000
1013,고백의 그녀,1
1014,최종병기 벨리타,9999999
1100,멀린,17664
1101,멀린,25944
1102,멀린,34224
1103,멀린,42504
1104,멀린,50784
2002,실키,22080
2004,시시리아,12880
2005,각성 시시리아,20976
2008,블루 캡,13800
2009,각성 블루 캡,27600
2010,각성 켈피,27821
2011,켈피,9660
2014,그루아가흐,13248
2015,각성 그루아가흐,23773
2027,각성 실키,27968
2028,바토리,12144
2029,각성 바토리,20332
2030,포클,15180
2031,각성 포클,24509
2032,쿠루밍,18455
2033,각성 쿠루밍,25502
2034,광분 리바이어선,346732
2035,레아,14904
2036,각성 레아,25907
2037,티아,22080
2038,각성 티아,29366
2039,광분 리온,296732
2040,비프로스트,18455
2041,각성 비프로스트,25502
2042,리바이어선,15898
2043,각성 리바이어선,25834
2044,그루아가흐,13248
2045,각성 그루아가흐,23773
2046,실키,22080
2047,각성 실키,27968
2048,시시리아,12880
2049,각성 시시리아,20976
2050,블루 캡,13800
2051,각성 블루 캡,27600
2052,포클,15180
2053,각성 포클,24509
2054,켈피,9660
2055,각성 켈피,27821
2056,리온,19872
2057,각성 리온,25907
2058,루세프,14904
2059,각성 루세프,25907
2060,마나난,14904
2061,각성 마나난,25907
2062,탈위스테그,45926
2063,대나무공주,23846
2064,각성 대나무공주,94116
2065,에로졸,17664
2066,각성 에로졸,43700
2067,안젤리나,20866
2068,각성 안젤리나,24730
2069,마를렌,14573
2070,각성 마를렌,25502
2071,피리도,18768
2072,각성 피리도,41400
2073,프라이머리,23515
2074,각성 프라이머리,61824
2075,티니아,23515
2076,각성 티니아,61824
2077,피로소피,20902
2078,각성 피로소피,63498
2079,니지히티,21491
2080,각성 니지히티,61824
2081,발카필,23184
2082,각성 발카필,69018
2083,메리크리,25521
2084,각성 메리크리,68448
2085,백묘,28336
2086,각성 백묘,68614
2087,파조린,26496
2088,각성 파조린,69478
2089,디오니,29146
2090,각성 디오니,72257
2091,아서 - 기교의 장 -,29955
2092,각성 아서 - 기교의 장 -,69589
2093,리오드&스위티,29955
2094,각성 리오드&스위티,69589
2095,모드레드,62634
2096,각성 모드레드,69589
3000,아서 - 마법의 파-,167440
3001,아서 -기교의 장-,189520
3002,아서 -검술의 성-,167440
3003,아서 - 마법의 파-,189520
3004,아서 -기교의 장-,167440
3005,아서 -검술의 성-,189520
3006,가웨인,196880
3007,아서 -기교의 장-,218960
3008,아서 -검술의 성-,196880
3009,모르가즈,218960
3010,특이형 한니발,196880
3011,모르가즈,218960
3012,가웨인,196420
3013,아서 -기교의 장-,229540
3014,란슬롯,207460
3015,아서 -검술의 성-,229540
3016,제2형 론펄,207460
3017,펙 파울러,229540
3018,아서 - 마법의 파-,223560
3019,갤러해드,234600
3020,아서 - 마법의 파-,245640
3021,아서 - 마법의 파-,223560
3022,갤러해드,234600
3023,아서 - 마법의 파-,245640
3024,멜레어건스 병사,234600
3025,아서 -검술의 성-,245640
3026,란슬롯,267260
3027,란슬롯,267260
3028,아서 -검술의 성-,351072
3029,아서 -기교의 장-,267260
3030,모드레드 병사,286120
3031,모드레드 병사,288420
3032,모드레드 병사,286120
3033,모드레드 병사,288420
3034,모드레드 병사,286120
3035,모드레드 병사,288420
3036,모드레드 병사,310040
3037,1등급 드래곤,312340
3038,모드레드 병사,310040
3039,1등급 드래곤,312340
3040,모드레드 병사,310040
3041,1등급 드래곤,312340
3042,모드레드,320160
3043,모드레드,326600
3044,모드레드,333040
3045,모드레드최종형태1,188784
3046,모드레드최종형태1,188784
3047,모드레드最終形態2,188784
3048,모드레드최종형태1,188784
3049,모드레드最終形態2,188784
3050,푸카,381984
3051,세리코트,384744
3052,푸카,381984
3053,세리코트,384744
3054,푸카,381984
3055,세리코트,384744
3056,모르간,407376
3057,모르간 = 루 = 페이,9999999
3058,모르간 = 루 = 페이,412896
3059,모르간,407376
3060,모르간 = 루 = 페이,9999999
3061,모르간 = 루 = 페이,412896
3062,모르간,407376
3063,모르간 = 루 = 페이,9999999
3064,모르간 = 루 = 페이,412896
3065,모드레드최종형태1,188784
3066,라이엔스 병사,386400
3067,라이엔스 병사,392840
3068,라이엔스 병사,9999999
3069,라이엔스 병사,9999999
10000,거인 사이보그,15456
10001,지원형 이텔,13248
40003,니칼,17222
40004,각성 니칼,27600
40005,메리,14904
40006,각성 메리,25907
50007,석탈해,18768
50008,각성 석탈해,27968
50009,색동,22080
50010,각성 색동,29366
60001,로조피아,16891
60002,각성 로조피아,27600
60003,루프토,15235
60004,각성 루프토,25907
60005,콩쥐,16229
60006,각성 콩쥐,25502
60007,팥쥐,14573
60008,각성 팥쥐,25521
60009,광분 우렁각시,266732
60010,다니카,19872
60011,각성 다니카,25907
60012,샤비,15235
60013,각성 샤비,29366
60014,챠챠,15898
60015,각성 챠챠,25834
60016,나이팅게일,14904
60017,각성 나이팅게일,25171
60018,광분 몽스,266732
60019,바르고,16560
60020,각성 바르고,27232
60021,우리엘,15566
60022,각성 우리엘,25098
60023,란슬롯,17830
60024,각성 란슬롯,27232
60025,가웨인,15014
60026,각성 가웨인,24693
60027,샤비,15235
60028,각성 샤비,29366
60029,니칼,17222
60030,각성 니칼,27600
60031,다니카,19872
60032,각성 다니카,25907
60033,챠챠,15898
60034,각성 챠챠,25834
60035,우렁각시,20203
60036,각성 우렁각시,26662
60037,메리,14904
60038,각성 메리,25907
60039,색동,22080
60040,각성 색동,29366
60041,몽스,21675
60042,각성 몽스,26662
60043,비트리아,21197
60044,각성 비트리아,27232
60045,이계의 여왕,44970
60046,색동,19044
60047,각성 색동,28594
60048,우렁각시,21270
60049,각성 우렁각시,26864
60050,랑이,21712
60051,각성 랑이,28980
60052,마담 바토리,20534
60053,각성 마담 바토리,25502
60054,드니스,9660
60055,각성 드니스,27821
60056,루이스,18768
60057,각성 루이스,24343
60058,에보라,10212
60059,각성 에보라,26496
60060,칼리아,19081
60061,각성 칼리아,24343
60062,광분 묘묘,295732
60063,알티마,23515
60064,각성 알티마,61824
60065,비형랑,10212
60066,각성 비형랑,26496
60067,백호,19081
60068,각성 백호,24343
60069,광분 바리공주,295732
60070,콘스탄틴,10488
60071,각성 콘스탄틴,26496
60072,모드레드,19081
60073,각성 모드레드,24343
60074,에이델린,11187
60075,각성 에이델린,27048
60076,세바스찬,18768
60077,각성 세바스찬,57960
60078,마레인,16836
60079,각성 마레인,25116
60080,세헤라자드,10488
60081,각성 세헤라자드,26662
60082,테루,18253
60083,각성 테루,23184
60084,아프라삭스,16836
60085,각성 아프라삭스,25116
60086,광분 구미호,295732
60087,스피카,11886
60088,각성 스피카,28336
